School Number,School Code,Name,District,ENG,NEP,MATH,SCI,SOC,HPE,TAP,SAP,DIST,FIRST,SECOND,THIRD,PASS,FAIL,PASS PERCENT,SEM
627,9136,PRATIBHA BOARDING SCHOOL RAJGHAT,MORANG,32.4,45,34.2,37,39.4,34.8,28,28,0,1,19,0,20,8,71.4,24.19
628,9137,MT MAKALU RESIDENTIAL SECONDARY SCHOOL DULARI,MORANG,53.4,59.4,83.8,59.7,47.7,50.3,29,29,1,27,1,0,29,0,100,55.7
629,9138,BHANU MEMORIAL ENGLISH SCHOOL BELBARI,MORANG,39.2,47.4,53.6,44.5,50.5,46.4,20,20,0,5,15,0,20,0,100,46.01
630,9139,SUMAN BIWEK JIWAN MUNA RANJITA MEMORIAL ENGLISH SCHOO,MORANG,50.3,55,86,54.4,54.1,53.6,41,41,5,34,2,0,41,0,100,57.2
631,9140,SUNSHINE ENGLISH SECONDARY BOARDING SCHOOL URLABARI,MORANG,45.3,59.8,67.9,52.8,54.7,53.6,12,12,0,12,0,0,12,0,100,55.23
632,9141,BAL BATIKA ENGLISH BOARDING SCHOOL BIRATNAGAR,MORANG,51.4,64.4,60.4,37,52.8,58.8,5,5,1,4,0,0,5,0,100,58.43
633,9142,SAGARMATHA ENGLISH SCHOOL BELBAREE,MORANG,36.9,49.8,49.6,42.8,47.2,43.8,35,35,0,7,24,1,32,3,91.4,39.57
634,9143,GALAXY ACADEMY LETANG,MORANG,24.3,41.1,44.1,28.8,30.9,39,24,24,0,2,11,0,13,10,54.2,14.1
635,9144,BIRAT CO-OPERATIVE ENGLISH BOARDING SCHOOL MUNALPATH-,MORANG,49.9,53,73.6,37.2,46.6,47.4,17,17,0,13,3,0,16,1,94.1,48.41
636,9145,SARASWATI MA VI SIJUWA-5 KADUPADA,MORANG,25,43.4,39.6,31.4,34.2,31.5,34,34,0,1,12,2,15,19,44.1,5.16
637,9146,ORCHID PUBLIC SCHOOL BIRATNAGAR-13,MORANG,57.6,59.6,78.3,50.9,66.5,50.8,17,17,5,11,0,0,16,1,94.1,55.52
638,9147,INDRAPUR NAMUNA MA VI INDRAPUR-4,MORANG,43.3,55.3,68.5,57.3,53.5,49.3,11,11,1,9,1,0,11,0,100,55.59
639,9148,JANAKI ENGLISH BOARDING SCHOOL JANAPATH BIRATNAGAR-15,MORANG,53.9,48.8,85.7,50.4,47.6,40.4,10,10,0,10,0,0,10,0,100,55.19
640,9149,BRIGHT FUTURE ENGLISH SCHOOL SALAKPURBAZAR,MORANG,49,59.6,85,58.2,50.6,46.8,27,27,1,24,2,0,27,0,100,55.2
641,9150,SARASWOTI VIDYA MANDIR BOARDING SCHOOL SUNDERPUR-9,MORANG,42.3,47.4,60.8,45.3,49.6,41.9,29,29,0,14,14,0,28,1,96.6,46.76
642,9151,SHREE MA VI JANTE-9,MORANG,22.1,39.9,34.8,25.1,31.4,37.4,60,60,0,2,15,0,17,43,28.3,-4.32
643,9152,JANAPRIYA MA VI BABIYA BIRTA-5,MORANG,20.1,38.6,42.8,31.7,36.4,29.7,90,89,0,1,34,3,38,51,42.7,5.29
644,9154,JUPITER ENGLISH SECONDARY SCHOOL DULARI-5,MORANG,33.4,58.3,62.3,47,47.9,44.5,47,47,0,22,20,0,42,5,89.4,42.06
645,9155,MINERVA JUNIOR ENGLISH SCHOOL LETANG-2,MORANG,42,48.1,54.1,42.2,42.3,47.3,15,15,0,7,7,1,15,0,100,47.9
646,9156,A1 QUALITY SCHOOL BIRATNAGAR-4,MORANG,59.2,66.2,85.1,51.7,59.9,43.9,14,14,2,12,0,0,14,0,100,57.65
647,9157,SHISHU SHIKSHA SADAN ENGLISH SCHOOL RAJGHAT-5,MORANG,60.2,53.7,88.1,55.6,54.2,49.5,11,11,0,11,0,0,11,0,100,55.21
648,9158,REDSTAR ENGLISH BOARDING SCHOOL PATHARI-2,MORANG,47,58.8,77.4,34.4,52.2,57.3,9,9,0,9,0,0,9,0,100,55.17
649,9159,LAXMI MA VI DANGRAHA,MORANG,20.8,35.5,24.8,21.7,33.9,37.5,39,39,0,2,4,1,7,32,17.9,-11.78
650,9160,SHIKSHA NIKETAN MA VI MRIGOULIYA,MORANG,16.5,34.1,26.8,27.2,33.8,36.7,57,57,0,4,3,1,8,48,14,-13.32
651,9161,KARMAVEER MA VI HATIMUDA,MORANG,25.2,36.4,27.7,22.8,35.8,39.5,33,33,0,2,9,1,12,21,36.4,0.6
652,9162,SHIKSHA SADAN MA VI BAYARBAN HARAKPUR,MORANG,27.5,42.9,45.7,35.2,39.8,34,31,31,0,5,16,6,27,4,87.1,34.3
653,9163,RASTRANIRMAN MA VI  ITAHARA,MORANG,44.3,59.1,52.5,51.3,44.8,48.6,30,30,0,15,15,0,30,0,100,49.32
654,9164,PARAGON ACADEMY  PUSPALAL CHOWK BIRATNAGAR,MORANG,61.8,61.4,81,54.4,51.1,41.6,14,14,1,11,2,0,14,0,100,54.67
655,9165,GEMS INTERNATIONAL SECONDARY BOARDING SCHOOL POKHAR,MORANG,56.8,58.8,89.1,59.5,69.1,54.1,31,31,12,19,0,0,31,0,100,62.04
656,9166,LETANG GREEN VALLEY ACADEMY LETANG,MORANG,45.8,53.8,58.7,43.9,50.7,40.1,9,9,0,4,5,0,9,0,100,48.23
657,9167,MOTHER TERESA MEMORIAL ENGLISH BOARDING SCHOOL BIRAT,MORANG,56.9,58.1,76.8,51.8,54.4,50.2,16,16,0,15,0,0,15,1,93.8,50.3
658,9168,GYANODAYA VIDYA NIKETAN MA VI HAMILI TOL,MORANG,62.6,62.1,82.4,61.4,63.9,52.8,14,14,7,7,0,0,14,0,100,63.6
659,9169,SIDDHARTHA ENGLISH BOARDING SCHOOL INDRAPUR,MORANG,52.2,59.9,80.4,57.9,50.5,56.7,11,11,3,8,0,0,11,0,100,59.75
660,9170,HIMALAYA BALSANSAR ENGLISH BOARDING SCHOOL URLABARI,MORANG,55.1,43.8,64.5,53.6,46.3,48.7,13,13,0,10,3,0,13,0,100,52.36
661,9171,PASHUPATI SEC BOARDING SCHOOL BANIGAMA NETACHOWK,MORANG,54,63.1,86.1,57.3,59.3,48.6,8,8,1,7,0,0,8,0,100,57.24
662,9172,HOLYLAND BOARDING SCHOOL BIRATNAGAR,MORANG,59.5,60.8,76.7,51.2,57.5,61.5,15,15,3,12,0,0,15,0,100,58.62
663,9173,MAHENDRA MA VI INDRAPUR-6,MORANG,20.7,34.5,30.9,30.1,37.4,40.1,42,42,0,1,16,0,17,25,40.5,3.42
664,9174,SAPTAKOSHI SECONDARY ENGLISH SCHOOL TRIMURTI PATH,MORANG,42.4,44.4,43.5,28.6,41.6,45.4,8,8,0,2,4,0,6,2,75,28.9
665,9175,GRADED ENGLISH MEDIUM SECONDARY SCHOOL MORANG,MORANG,62.3,62.3,84,55.7,57.3,53.1,7,7,4,3,0,0,7,0,100,64.66
666,9176,RISING NEPAL ENGLISH BOARDING SCHOOL RANI,MORANG,45.1,56.4,62.2,39.6,57.9,44.1,19,19,1,9,9,0,19,0,100,50.32
667,9177,TENDER FEET BOARDING SCHOOL DULARI,MORANG,49.8,56,71.4,50.6,53.4,53.8,11,11,0,11,0,0,11,0,100,55.21
668,9178,MARTYRS MEMORIAL ENGLISH SCHOOL BIRATNAGAR TINTOLI,MORANG,63.7,70,83.1,59.7,70.4,54.6,7,7,3,4,0,0,7,0,100,62.28
669,9179,BHANUBHAKTA MEMORIAL ENGLISH SCHOOL LAXMIMARG,MORANG,57.9,64.7,91.3,67.1,52.8,55.7,16,16,5,11,0,0,16,0,100,60.51
670,9180,MT. MAKALU ENGLISH BOARDING SCHOOL RANGELI,MORANG,48.8,37.5,51.8,43.8,42.6,54.2,17,17,0,10,5,0,15,2,88.2,42.24
671,9181,ARUNODAYA SECONDARY ENGLISH SCHOOL SHANISCHARE,MORANG,44.6,63,76,49.1,53.7,49,7,7,0,7,0,0,7,0,100,55.13
672,9182,NARAYAN MA VI DANGRAHA SUKCHAR,MORANG,15.1,31.6,12.4,14.8,20.1,29.4,14,13,0,0,2,0,2,11,15.4,-14.37
673,9183,SIDDHARTHA MEMORIAL SECONDARY BOARDING SCHOOL DANG,MORANG,44.4,57.9,70.2,53.5,46.6,48.6,17,16,0,15,1,0,16,0,100,54.52
674,9184,GODAVARI ENGLISH SCHOOL BIRATNAGAR,MORANG,55.1,54.7,63.3,47.2,50.4,49.3,9,9,0,8,1,0,9,0,100,53.78
675,9185,HOLY CHILD ENGLISH SECONDARY SCHOOL URLABARI,MORANG,54.5,65.3,87,57.8,61,59.5,4,4,1,3,0,0,4,0,100,59.24
676,9186,HARINCHA MODEL ENGLISH SCHOOL HARAINCHA,MORANG,49.5,53.7,79.6,58.1,39.3,52.9,11,11,0,10,0,0,10,1,90.9,47.94
677,10000,PRIVATE SUNSARI,SUNSARI,30.6,41.7,45.6,31.3,31,41.3,126,123,0,2,68,22,92,30,74.8,26.3
678,10001,BHAGBATI MA VI INARUWA,SUNSARI,26.1,34.8,38.2,27.8,38.8,38.7,185,185,0,9,75,16,100,85,54.1,14.68
679,10002,HARINAGARA MA VI HARINAGARA,SUNSARI,24.9,36.3,43.3,35.3,36.8,39.6,138,136,0,5,59,16,80,55,58.8,16.66
680,10003,JANATA MA VI MADHESHA,SUNSARI,29.6,49.8,44.5,33.5,41.7,41.3,128,128,2,19,65,12,98,30,76.6,30.41
681,10004,SHARADA MA VI BALAHA,SUNSARI,34.1,45.9,55.3,33.5,37.9,49.9,110,110,0,33,51,4,88,22,80,34.45
682,10005,PRAKASH MA VI PRAKASHPUR,SUNSARI,23.8,39.6,36.6,30,30.2,45.1,225,224,0,16,75,10,101,123,45.1,10.11
683,10006,MAHENDRA MA VI MAHENDRANAGAR,SUNSARI,22.3,41,35.8,30.8,35.9,40.7,149,149,0,4,51,12,67,82,45,7.65
684,10007,BALKRISHNA MA VI RAMNAGAR BHUTAHA,SUNSARI,32.2,42.6,42,45.2,45.3,48.3,70,69,0,13,45,2,60,9,87,37.05
685,10008,BHADGAUN SINUWARI MA VI JHUMKA SINUWARI,SUNSARI,30.2,41.5,45.5,31,34.8,41.1,252,251,0,30,121,26,177,74,70.5,27.75
686,10009,PAKALI MA VI PAKALI,SUNSARI,22.5,39.6,38,24.9,35.9,46.2,113,111,1,9,30,2,42,69,37.8,3.73
687,10010,JANASAHAYOG MA VI HANSPOSA,SUNSARI,22.8,45,35.3,30.7,36.2,41.2,156,155,0,16,47,8,71,84,45.8,9.6
688,10011,CHANDRA SAN MA VI DHARAN,SUNSARI,20.7,41.7,41,32.9,34.8,52.5,27,27,0,0,10,4,14,13,51.9,8.91
689,10012,SHARADA BALIKA MA VI DHARAN,SUNSARI,27.3,44.5,44.5,39.6,37.9,45.7,129,127,0,12,86,0,98,28,77.2,30.88
690,10013,PUBLIC HIGH SCHOOL DHARAN 12,SUNSARI,29,46.1,45.4,31.7,37.6,46,408,406,0,52,261,8,321,84,79.1,34.82
691,10014,VIJAYAPUR HIGHER SECONDARY SCHOOL DHARAN,SUNSARI,55.4,62.7,74.6,60.3,60.9,59.7,83,83,15,68,0,0,83,0,100,59.59
692,10015,PINDESHWAR SANSKRIT MA VI DHARAN,SUNSARI,21.4,40.6,45.1,33.7,33,49.9,7,7,0,0,2,0,2,5,28.6,-5.58
693,10016,SARASWATI MA VI BABIYA,SUNSARI,30.3,36.3,50.4,30.5,37.4,49.4,63,63,0,12,27,0,39,24,61.9,20.37
694,10017,NEPAL RASTRIYA MA VI AMAHI BELHA,SUNSARI,40.5,44.6,53.5,33.5,38.3,44,97,96,0,20,58,4,82,14,85.4,36.64
695,10018,JANATA MA VI SINGIYA,SUNSARI,27.8,45.6,48,28.2,35.1,44.8,153,153,0,18,73,6,97,56,63.4,21.75
696,10019,JANTA MA VI NARASINGA,SUNSARI,25.9,31.7,38.3,27,32.7,37.3,58,56,0,3,26,6,35,21,62.5,17.76
697,10020,SHREE SHIKSHA SADAN MA VI DHARAN 15,SUNSARI,38.7,51.2,41.7,40.9,36.8,41.1,240,239,0,38,135,9,182,57,76.2,32.53
698,10021,BOARDING MA VI DHARAN,SUNSARI,58.8,50.8,69.4,51.5,51.7,46.6,16,16,0,15,1,0,16,0,100,54.52
699,10022,PUBLIC MA VI PHUSRE DHARAN,SUNSARI,25.8,38.6,45.1,41.2,34.9,36.1,83,73,1,15,35,2,53,17,72.6,29.09
700,10023,ADARSHA MA VI BARAHACHHETRA CHATARA,SUNSARI,23.9,39,35.7,29.2,35.4,42.3,186,185,0,13,48,11,72,112,38.9,5.16
701,10024,SHAHID SMRITI MA VI GANGALAL MARG DHARAN,SUNSARI,28.4,45.7,49.4,28.5,35.7,37.1,107,107,0,12,48,7,67,39,62.6,20.23
702,10025,BOARDING MA VI ITAHARI,SUNSARI,50.8,61.8,77.1,48.9,52.9,48.2,78,78,7,55,15,0,77,0,98.7,54.87
703,10026,SHIKSHA NIKETAN MA VI DHARAN-6,SUNSARI,34.6,50.6,48,45.5,39.1,43.4,312,311,0,44,241,11,296,13,95.2,45.79
704,10027,DEPOT MA VI GHOPACAMP DHARAN,SUNSARI,63.9,63,87.2,64.3,57,51.3,68,68,15,53,0,0,68,0,100,59.97
705,10028,JAGANNATH DED RAJ JANATA MA VI KALABANJAR,SUNSARI,24.6,44.5,46.8,32.2,36.2,33.9,226,226,0,13,76,47,136,90,60.2,18.38
706,10029,JANATA MA VI MADHUVAN,SUNSARI,26,39.8,35.9,29.3,45.3,44.9,118,118,0,15,52,2,69,49,58.5,18.12
707,10031,JANATA MA VI ITAHARI,SUNSARI,22.6,43.3,33.3,31.8,33.4,40.4,187,187,0,16,42,6,64,123,34.2,2.38
708,10032,SHARADA MA VI KHANAR,SUNSARI,28,47.3,48.7,34.7,40,37.9,80,80,0,14,36,7,57,23,71.3,25.86
709,10033,BISHNU MA VI SONAPUR,SUNSARI,25.9,37.1,36.2,30.3,36,47.9,51,51,0,4,18,0,22,29,43.1,6.07
710,10034,SARASWATI MA VI DUHABI,SUNSARI,20.4,41,44.9,30.9,36.3,33.8,165,165,0,3,50,7,60,105,36.4,2.45
711,10035,RAMSITA MA VI BHIMNAGAR,SUNSARI,35.1,46.6,48.5,31.5,37.7,50,134,134,0,23,90,2,115,19,85.8,37.46
712,10036,SARASWATI MA VI AURAWANI,SUNSARI,18.5,39.5,31.2,24.2,34.7,32.9,133,133,0,6,26,6,38,95,28.6,-3.11
713,10037,ADARSHA MA VI BAKLAURI BAZAR,SUNSARI,22.1,47.2,42.6,33,38.5,36.3,148,148,0,8,51,11,70,78,47.3,9.61
714,10038,JANATA MA VI HATTIMUDHA,SUNSARI,18,23.4,27.3,23.2,24.3,35.3,54,53,0,1,5,1,7,46,13.2,-15.05
715,10039,GYANODAYA MA VI DHARAN,SUNSARI,31.6,45.8,49.4,28.3,36.4,36.6,138,134,0,19,75,4,98,35,73.1,28.55
716,10040,SARASWATI MA VI PANBARI,SUNSARI,32.1,35.8,32.4,39,34.3,31.4,113,95,0,15,65,0,80,15,84.2,35.62
717,10041,MAJADUR KISAN MA VI MADHELI,SUNSARI,17,30.4,25.4,22.4,28.2,42.3,155,155,0,1,23,4,28,127,18.1,-10.06
718,10042,AMAR SINGH MA VI SAHEBGUNJ,SUNSARI,32.9,36.7,47.5,32.4,37.8,43.9,74,74,0,1,49,13,63,11,85.1,32.14
719,10043,PEACE ZONE AWASIYA MA VI ITAHARI,SUNSARI,52.1,67,75.8,51.2,54.9,49.4,97,97,14,71,12,0,97,0,100,57.7
720,10044,GOPAL MA VI TANMUNA,SUNSARI,25.1,43.1,39,27.4,27,42.6,75,74,0,6,27,1,34,40,45.9,8.29
721,10045,SARASWATI MA VI BAUKAJHODA,SUNSARI,25.4,37,26.3,28.9,38,41.5,58,56,0,4,20,4,28,28,50,9.93
722,10046,JANAK MA VI MAHENDRANAGAR 9 SALBANI,SUNSARI,32.1,43.5,34.1,33.3,43.5,47.1,53,53,0,4,28,2,34,19,64.2,19.84
723,10047,SUMMIT SECONDARY BOARDING SCHOOL DHARAN,SUNSARI,61,57.6,78.7,55.4,61.1,46.4,59,58,4,54,0,0,58,0,100,57.25
724,10048,MA VI CHHITAHA,SUNSARI,23.4,37.9,39.9,33.5,33,43.3,159,158,0,8,69,2,79,79,50,12.25
725,10049,LABORATORY MA VI DHARAN,SUNSARI,28.6,42.7,46.8,43.6,37.3,40.9,171,170,0,19,112,4,135,35,79.4,32.98
726,10050,CHANDRAKAMAL MA VI MARCHAIYA DUMRAHA,SUNSARI,27.6,42.7,44.6,32.5,40.8,49,83,83,0,16,38,2,56,27,67.5,24.27
727,10051,SHARADA MA VI RAMPUR DHOK BHOKRAHA,SUNSARI,26,36.7,33,27.3,41,42.2,86,86,0,2,46,5,53,33,61.6,17.9
728,10052,KRISHNA MA VI SHANKARPUR,SUNSARI,27.4,41,37.9,36.2,42.4,45,184,184,0,26,81,11,118,66,64.1,22.91
729,10053,BHALDHUNGA MA VI BISHNUPADUKA,SUNSARI,34.2,45.7,34.5,27.4,36.3,37.8,68,68,0,1,38,4,43,25,63.2,18.52
730,10054,TRIBHUWAN MA VI ARTA BAKULAWA DUMRAHA-2,SUNSARI,29.7,33.2,40.5,31.9,30.1,37.8,77,77,0,8,28,4,40,37,51.9,12.27
731,10055,KOSI MA VI WEST KUSHAHA,SUNSARI,26.4,38.7,35.5,29.3,32.4,46.3,93,93,0,6,39,5,50,43,53.8,13.28
732,10056,GODAWARI VIDYA MANDIR AWASIYA MA VI ITAHARI,SUNSARI,39.3,51.9,65.2,44.9,44.5,47,57,57,3,32,15,1,51,6,89.5,44.84
733,10057,PATHIBHARA ENGLISH BOARDING SCHOOL ITHARI,SUNSARI,49.8,50.8,66.4,53.4,57.2,52.7,73,73,1,58,12,0,71,2,97.3,52.37
734,10058,BUDHA SUBBA ENGLISH MA VI DHARAN,SUNSARI,49.3,47.3,48.9,39,43.8,49.6,8,8,0,4,3,0,7,1,87.5,40.46
735,10059,SUNSARI BALIKA AWASIYA MA VI INRUWA,SUNSARI,34,52.3,46.8,35,43.1,40.2,27,27,0,9,9,1,19,6,70.4,28.63
736,10060,INARUWA ENGLISH BOARDING SCHOOL INARUWA,SUNSARI,56.6,53.7,85.5,52.2,59.2,56.9,72,72,6,64,2,0,72,0,100,57.41
737,10061,KOSHI JANATA MA VI HARIPUR,SUNSARI,20.9,27.1,29.8,25.8,27.7,41,75,74,0,1,26,0,27,47,36.5,1.2
738,10062,MODERN PREPARATORY BOARDING SCHOOL ITAHARI,SUNSARI,42.9,48.8,59.8,43.7,41.1,47,33,33,1,17,10,0,28,4,84.8,40.98
739,10063,RAM DHUNI MA VI LALPUR SINGIYA,SUNSARI,23.1,49.6,40.5,34.5,38.6,37.1,96,96,0,12,33,1,46,50,47.9,10.62
740,10064,PURWANCHAL BOARDING SCHOOL HANSPOSA TARAHARA,SUNSARI,51.5,58.6,71.3,57.9,53.2,44.4,23,23,0,22,1,0,23,0,100,54.89
741,10065,SOS HERMANN GMEINER MA VI ITAHARI,SUNSARI,58,65.9,88.4,63.4,55.2,56.7,33,33,18,15,0,0,33,0,100,64.72
742,10066,DIPENDRA PRAHARI AWASIYA MA VI DHARAN,SUNSARI,41.6,50.3,65.9,43.7,48.3,39.8,31,26,1,23,2,0,26,0,100,55.17
743,10067,SHREE 5 MAHENDRA MA VI SUNDARPUR ITAHARI 2,SUNSARI,20.7,35.3,33.8,33.3,24.9,30.8,128,127,0,4,34,5,43,84,33.9,0.24
744,10068,KACHANA MAHADEV MA VI ITAHARI 4,SUNSARI,37.2,42.7,45.8,39.6,40.4,49.1,41,41,0,3,36,0,39,2,95.1,40.9
745,10069,CARMEL HIGH SCHOOL DHARAN 10,SUNSARI,49,47.2,69.1,53.1,50.8,49.8,37,37,0,34,3,0,37,0,100,54.69
746,10070,OASIS ENGLISH HIGH SCHOOL DHARAN-10,SUNSARI,48.7,50.9,56.5,55.7,47.2,46,23,21,0,20,1,0,21,0,100,54.8
747,10071,JANATA MA VI SIMARIYA,SUNSARI,21.1,38.1,29.3,23.6,23.6,42.6,80,80,0,1,17,2,20,60,25,-6.72
748,10072,PANCHAYAT MA VI DHARAN,SUNSARI,32.9,42.5,38.1,38.5,37.4,40.9,72,72,0,5,47,5,57,15,79.2,29.92
749,10073,EUREKA RESIDENTIAL SCHOOL DHARAN 4,SUNSARI,46.1,55.6,73.5,53.3,50.1,53.7,154,143,16,124,1,0,141,0,98.6,58.73
750,10074,BASANTA RITU MA VI MAHENDRANAGAR,SUNSARI,24.4,41.4,31.6,26.1,34.9,45.5,105,104,0,4,35,5,44,60,42.3,5.5
751,10076,MAHENDRA MEMORIAL ENGLISH AWASIYA MA VI DUHABI,SUNSARI,50.4,55,86.1,49.4,43.4,45.6,26,24,4,19,0,0,23,0,95.8,55.94
752,10077,NAVJYOTI SCHOOL DHARAN,SUNSARI,56,58,82.7,55.7,59.6,52.8,45,45,5,40,0,0,45,0,100,57.71
753,10078,DHARAN MODEL SCHOOL DHARAN,SUNSARI,62,63.5,84.3,57.5,58.8,47.2,26,26,1,25,0,0,26,0,100,56.14
754,10079,GYANODAYA SECONDARY ENGLISH BOARDING SCHOOL DHARAN,SUNSARI,51.2,54.6,77.8,58.2,52.9,51.1,28,28,0,28,0,0,28,0,100,55.53
755,10080,MERRYLAND ENGLISH BOARDING SCHOOL DHARAN,SUNSARI,60.5,56.6,77.7,61.5,60.2,47.5,21,21,0,21,0,0,21,0,100,55.4
756,10081,PANCHAYAT (DANTAKALI) MA VI DHARAN,SUNSARI,27.2,54.1,50,42.4,39.1,48.9,28,28,0,6,16,0,22,6,78.6,31.25
757,10083,JYOTI MA VI ITAHARI,SUNSARI,18.6,40.1,38,29.1,31.3,39.8,102,102,0,9,12,1,22,78,21.6,-7.01
758,10084,RAJAJEE RAMJEE MEHTO MA VI INARUWA,SUNSARI,34.1,38.2,45.7,30.4,35.6,42.7,67,67,0,15,23,2,40,27,59.7,19.05
759,10085,MOUNT MANASLU SECONDARY SCHOOL DUHABI,SUNSARI,59.9,57.5,88.6,57.6,44.2,50.4,60,60,3,55,0,0,58,2,96.7,54.31
760,10086,SAYAPATRI SHISHU SADAN ENGLISH SCHOOL HANSPOSA TARAHA,SUNSARI,48.5,49.2,63.8,49.9,43.5,45.8,34,34,1,19,14,0,34,0,100,50.99
761,10087,BHRIKUTI SECONDARY BOARDING SCHOOL ITAHARI,SUNSARI,50.6,61.3,72.4,46.9,53.1,56.4,16,16,0,16,0,0,16,0,100,55.3
762,10088,GEM SECONDARY BOARDING SCHOOL DHARAN,SUNSARI,47.2,50.6,68.6,51.7,51.9,48.9,18,18,1,14,3,0,18,0,100,54.18
763,10089,NILKANTHA SECONDARY ENGLISH SCHOOL TARAHARA,SUNSARI,47.9,49.7,58.6,43.9,41.1,39.8,10,10,0,5,4,0,9,1,90,42.19
764,10090,ITAHARI MODEL SCHOOL ITAHARI,SUNSARI,47.9,58.1,74.6,49.1,50.2,53.7,29,29,0,25,4,0,29,0,100,53.83
765,10091,PRABHAT ENGLISH BOARDING SCHOOL CHATRALINE DHARAN,SUNSARI,54.1,47.9,65.6,53.6,51.6,40.7,14,12,0,12,0,0,12,0,100,55.23
766,10092,JUNIOR PIONEERS SCHOOL DHARAN,SUNSARI,51.2,48.5,78.7,52.3,53.3,47,27,24,1,23,0,0,24,0,100,56.15
767,10093,SUMNIMA BOARDING SCHOOL DHARAN,SUNSARI,46.7,55.1,68.6,44,43.3,45.3,14,14,0,13,1,0,14,0,100,54.37
768,10094,KOSHI ST. JAMES RESIDENTIAL SECONDARY SCHOOL ITAHARI-8,SUNSARI,53.7,55.3,67.1,53.3,53.9,48.9,23,23,2,18,3,0,23,0,100,55.26
769,10095,CHAMUNDA BHAGWATI RESIDENTIAL SECONDARY SCHOOL ITAHA,SUNSARI,30.3,47,43.2,36.9,35,40.4,21,21,1,3,7,1,12,9,57.1,16.63
770,10096,HOLY LAND INTERNATIONAL SCHOOL DHARAN-15,SUNSARI,46.8,52.8,66.4,50.3,50.8,47.3,17,17,0,17,0,0,17,0,100,55.32
771,10097,BISHNU MEMORIAL BOARDING SCHOOL DHARAN-9,SUNSARI,54.8,60.2,79.8,56.4,63.6,49.9,41,41,8,33,0,0,41,0,100,59.03
772,10098,PARADISE ENGLISH BOARDING SCHOOL TARAHARA,SUNSARI,32.8,46.1,50.3,45.1,41.5,36,45,45,0,7,34,0,41,4,91.1,39.3
773,10099,ITAHARI RESIDENTIAL MA VI ITAHARI-4,SUNSARI,31.6,45.4,49.6,34.2,36,48.6,60,59,0,11,37,3,51,8,86.4,36.25
774,10100,SARASWATI MA VI ITAHARI-7,SUNSARI,12.1,36,30.4,27.3,26.9,39,43,42,0,0,3,0,3,39,7.1,-19.38
775,10101,SUNSARI ST. XAVIER'S SECONDARY ENGLISH BOARDING SCHOOL,SUNSARI,51.8,53.6,71.2,62.1,53.9,43.7,29,29,2,23,4,0,29,0,100,54.98
776,10102,SACRED HEART ENGLISH SCHOOL ITAHARI-5,SUNSARI,55.9,66.4,83.8,57.7,56.8,48,23,23,1,22,0,0,23,0,100,56.16
777,10103,RASTRIYA MA VI ANPGACHHI HANSPOSA,SUNSARI,26.8,47,42,41.1,38.2,35.3,41,41,0,3,25,3,31,10,75.6,26.94
778,10104,HIM SHIKHAR ENGLISH SCHOOL TARAHARA,SUNSARI,54.2,52.9,72.8,54.3,52.2,48.1,23,23,0,20,3,0,23,0,100,53.81
779,10105,NORTH POINT SECONDARY BOARDING SCHOOL ITAHARI,SUNSARI,51.1,52,69.4,54.8,49.5,54.6,21,21,0,18,3,0,21,0,100,53.61
780,10106,BAL VIDHYA VIKASH ENGLISH SCHOOL INARUWA,SUNSARI,60.4,51.7,79.1,55.9,51.7,55.2,11,11,1,10,0,0,11,0,100,56.72
781,10107,NAVODAYA VIDYA MANDIR ENGLISH BOARDING SCHOOL LEKH,SUNSARI,52.6,67.6,93.5,54.4,67.5,50.1,10,10,3,7,0,0,10,0,100,60.19
782,10108,BRIGHT FUTURE ENGLISH SCHOOL ITAHARI ANPGACHHI,SUNSARI,48.6,67.6,78.1,52,60,60,8,8,0,8,0,0,8,0,100,55.15
783,10109,LITTLE FLOWERS ENGLISH BOARDING SCHOOL ITAHARI,SUNSARI,52.1,52.8,83.9,52,47.7,49.6,21,21,3,16,2,0,21,0,100,56.59
784,10110,PANCHAYAT  MA VI BAKLAURI-8 SUNSARI,SUNSARI,26,44.4,54.6,29.3,35.3,42.4,59,58,0,5,26,4,35,23,60.3,17.17
785,10111,MORNING STAR SCHOOL MAHENDRA NAGAR CHAKARGHATTI,SUNSARI,48.3,51.7,67.8,51.5,48,54.9,33,33,0,25,8,0,33,0,100,52.6
786,10112,BRILLIANT ENGLISH BOARDING SCHOOL JHUMKA SUNSARI,SUNSARI,56.9,54.2,71.3,48.5,58.8,57.8,16,16,0,15,1,0,16,0,100,54.52
787,10113,JANAK SMRITI SHISHU SADAN INARUWA SUNSARI,SUNSARI,57.1,58.4,86.4,53.9,62.8,57.7,17,17,5,12,0,0,17,0,100,60.23
788,10114,UNIQUE ACADEMY ENGLISH BOARDING SCHOOL BHADGAUN,SUNSARI,55.3,57.6,79.1,53.4,61.9,57,24,24,3,21,0,0,24,0,100,57.54
789,11000,PRIVATE SOLUKHUMBU,SOLUKHUMBU,20.5,39.3,20.8,16.7,30.1,37,36,34,0,1,3,1,5,29,14.7,-14.38
790,11001,JANAJAGRITI MA VI SALLERI,SOLUKHUMBU,32.4,49.9,33.7,27.7,36.1,45,57,53,0,5,35,1,41,12,77.4,29.2
791,11002,JIVANJYOTI MA VI NELE,SOLUKHUMBU,30.6,48.4,50.3,43.7,43.7,48.4,27,27,0,10,13,0,23,4,85.2,37.64
