School Number,School Code,Name,District,ENG,NEP,MATH,SCI,SOC,HPE,TAP,SAP,DIST,FIRST,SECOND,THIRD,PASS,FAIL,PASS PERCENT,SEM
39,2002,AMARPUR MA VI DORAMBA AMARPUR,PANCHTHAR,24.9,37.4,37.7,25.9,33.3,40.2,116,116,0,2,33,21,56,60,48.3,8.05
40,2003,BISHNU MA VI CHYANGTHAPU,PANCHTHAR,28.1,40.5,40.1,26.7,53,39.3,22,22,0,2,13,0,15,7,68.2,22.58
41,2004,KHALANGATAR MA VI YANGNAM,PANCHTHAR,27.3,43.4,37.2,27.3,30.5,29.2,17,17,0,1,3,4,8,9,47.1,5.27
42,2005,SIDDHA DEVI MA VI NAWAMIDADA,PANCHTHAR,24.5,36.5,35.5,25.4,33.8,38.1,173,173,0,6,42,31,79,94,45.7,7.61
43,2006,SIDDHAKALI MA VI EAKTIN JORPATI,PANCHTHAR,18.6,43.4,24.8,25.7,34.1,34.1,46,46,0,1,10,0,11,35,23.9,-7.71
44,2007,NAYA NAMUNA MA VI PHIDIM BAZAR,PANCHTHAR,33.5,52.1,55,35.2,46.5,51.8,86,86,1,34,26,1,62,24,72.1,30.45
45,2008,SIDDHA DEVI MA VI NANGIN PIPALBOTE,PANCHTHAR,21.5,41.8,25.7,26.8,32.7,44.2,79,79,0,3,13,1,17,62,21.5,-8.63
46,2009,SIDDHESWORI MA VI BHARPA TUWA,PANCHTHAR,18.8,37.3,26.1,25.8,31.6,32.9,78,77,0,0,18,1,19,58,24.7,-7.02
47,2010,GUPTESHWOR MA VI OYAM,PANCHTHAR,24.2,37.3,37.4,27.8,40.3,37.1,42,42,0,1,17,2,20,22,47.6,7.72
48,2011,JAY NARAYAN ADARSHA MA VI MEHELBOTE,PANCHTHAR,19.7,34.5,33.8,25.4,32,35.4,64,63,0,0,18,2,20,43,31.7,-2.72
49,2012,DURGA MA VI RAVI,PANCHTHAR,23.9,44.6,41.9,24.8,36.9,37.9,83,82,0,5,29,8,42,40,51.2,10.84
50,2013,PRITHIVI MA VI YASOK,PANCHTHAR,23.1,33.7,33.8,28.4,34,36.8,81,81,0,4,21,3,28,53,34.6,0.09
51,2014,INDRANI MA VI MOUWA,PANCHTHAR,19.3,39.1,35,26.2,35,36.7,83,83,0,1,16,5,22,61,26.5,-6.03
52,2015,NILGIRI MA VI SUBHANG,PANCHTHAR,28.9,35.3,30.2,31.7,32.2,40,81,80,0,5,26,6,37,43,46.3,7.71
53,2016,RANITAR MA VI RANITAR,PANCHTHAR,13.8,44.3,32.9,24.4,32.7,38.1,100,100,0,1,12,0,13,87,13,-14.2
54,2017,SARASWATI MA VI MACHHEBUNG,PANCHTHAR,21,41.2,29.8,21.9,28.1,30.6,80,80,0,1,14,6,21,59,26.3,-6.42
55,2018,THARPU MA VI THARPU,PANCHTHAR,25,42.6,38.9,31.1,41.4,39.6,168,168,0,15,73,8,96,72,57.1,17.37
56,2019,SIRIJUNG MA VI GOPETAR,PANCHTHAR,29.1,39.6,34,31.7,34,41.6,122,122,0,7,49,9,65,57,53.3,13.2
57,2020,DURGA MA VI SARANGDANDA,PANCHTHAR,26.1,40.7,43.6,28.9,32,43.3,36,36,0,1,20,0,21,15,58.3,15.41
58,2021,SARASWATI MA VI CHOKMAGU,PANCHTHAR,23.4,45.3,32.2,22.6,36.1,35,56,56,0,2,13,7,22,34,39.3,1.68
59,2022,SARATAP MA VI PAUWA,PANCHTHAR,11.9,44.8,24.5,19.6,34,38.2,40,40,0,0,1,0,1,39,2.5,-22.55
60,2023,KALIKA MA VI PRANGBUNG,PANCHTHAR,24.9,40.4,30.1,22.5,28.4,24.4,36,33,0,0,10,4,14,19,42.4,2.95
61,2024,JANA KALYAN MA VI KOLBUNG PHAKTEP,PANCHTHAR,16.3,34,38.7,24.8,33,39.6,53,53,0,5,8,0,13,40,24.5,-6.26
62,2025,MECHI ENGLISH SCHOOL PHIDIM 4,PANCHTHAR,51,52.3,65.2,42.2,58.1,55.4,33,33,1,24,8,0,33,0,100,53.1
63,2026,ARUBOTE MA VI ARUBOTE,PANCHTHAR,16.9,33.3,28.3,17.4,23.7,33.3,71,71,0,2,6,0,8,63,11.3,-15.69
64,2027,MAHENDRODAYA MA VI PIPALBOTE,PANCHTHAR,21.5,35.8,29.8,27.1,30.1,36.4,74,74,0,0,20,8,28,46,37.8,0.78
65,2028,SINGHA SIDDHA MA VI ANSHUBHANJYANG LUWAPHU,PANCHTHAR,19.8,39.4,28.2,26.2,31.4,31.3,50,50,0,1,8,3,12,38,24,-8.25
66,2029,GANESH MA VI NAGI CHITTOK,PANCHTHAR,24.7,35,25,30.7,31.4,39.6,61,61,0,0,14,5,19,42,31.1,-3.7
67,2030,KURUMBA MA VI KURUMBA,PANCHTHAR,17,42.1,25.9,21.1,30.9,33.5,43,43,0,0,6,3,9,34,20.9,-10.81
68,2031,GHURBISE PANCHAMI MA VI PHAKTEP,PANCHTHAR,12.4,35.3,26.2,21.3,29.1,35.2,125,124,0,5,8,0,13,111,10.5,-15.06
69,2032,MAHADEV GUPTESHWOR MA VI PHULPA LUNGRUPA,PANCHTHAR,18.1,37.7,20.9,26,30.7,39.3,47,46,0,3,5,2,10,36,21.7,-9.11
70,2033,SIDDHA SARASWATI MA VI BARBHANJYANG MANGJABUNG,PANCHTHAR,19.1,34.2,29.3,25.7,32.2,31.6,37,36,0,1,4,7,12,24,33.3,-3.57
71,2034,CHANDRESHWAR MA VI KHANDRONG,PANCHTHAR,30.2,45.7,45.7,26.3,41.3,45.1,33,33,0,1,28,1,30,3,90.9,37.04
72,2035,VIDYA BARDAN ENGLISH BOARDING SCHOOL PHIDIM,PANCHTHAR,44.8,42.4,57.8,42.2,51.4,48.2,26,26,0,15,8,0,23,3,88.5,42.42
